name,price
kettle corn sweet & salty popcorn,2.99
rice cracker medley,2.69
milk chocolate covered peanut butter pretzels,3.99
jalapeno seasoned corn & rice puffs,2.49
crispy onion chips,2.69
mini hold the cone ice cream cones coffee bean,3.99
dark chocolate covered almonds,5.99
cajun style blackened chicken breast fettuccine alfredo,6.49
texas vodka,10.99
everything but the bartender gin & tonic,9.99
bambino uncured pepperoni pizza,4.49
bambino pizza formaggio,4.29
holiday peanut butter flavored decorated dog treats,3.99
