name,storage_type,food_category
milk chocolate peanut butter cups,shelf stable,dessert
milk chocolate covered peanut butter pretzels,shelf stable,dessert
phyllo crisps,shelf stable,dessert
thanksgiving stuffing kettle chips,Shelf Stable,Chips
cornbread stuffing,Shelf Stable,Entree
holiday cheer unexpected cheddar cheese spread,Refrigerated,Dip
cranberry chevre,Refrigerated,Dip
greek whole milk yogurt egg nog,Refrigerated,Non-Alcohol
everything but the leftovers seasoning blend,Shelf Stable,Dip
uncured bacon wrap scallops,Frozen,Entree
nantucket style cranberry pie,Bakery,Dessert
chocolate peppermint loaf & baking mix,Bakery,Dessert
teeny tiny pecan pies,Bakery,Dessert
panettone,Bakery,Dessert
jingle jangle pretzel twists,Shelf Stable,Dessert
candy cane joe joe's ice cream,Frozen,Dessert
candy cane chocolate covered almonds,Shelf Stable,Dessert
cookie mug hangers,Bakery,Dessert
non-dairy oat creamer (gingerbread),Refrigerated,Non-Alcohol
candy cane joe-joe's,Shelf Stable,Dessert
dark chocolate covered peppermint joe-joe's,Shelf Stable,Dessert
scandinavian tidings,Shelf Stable,Dessert
mini peppermint meringues,Bakery,Dessert
holiday kick off advent calendar,Shelf Stable,Dessert
espresso martini,Beverage,Alcohol
egg nog,Beverage,Non-Alcohol
shiner holiday cheer,Beverage,Alcohol
hot cocoa polar bear,Beverage,Non-Alcohol
winter wassail punch,Beverage,Non-Alcohol
